epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9995967745780945,0.5143173336982727,5e-05,1.0,0.45074233412742615
1,1.0,0.49864819645881653,5e-05,1.0,0.4486630856990814
2,1.0,0.49196216464042664,5e-05,1.0,0.4470217823982239
3,1.0,0.4853697419166565,5e-05,1.0,0.4457356035709381
4,1.0,0.4816952645778656,5e-05,1.0,0.44326746463775635
5,1.0,0.4775615930557251,5e-05,1.0,0.4409968852996826
6,1.0,0.47440409660339355,5e-05,1.0,0.438530296087265
7,1.0,0.470572292804718,5e-05,1.0,0.43589213490486145
8,1.0,0.4664018452167511,5e-05,1.0,0.4331105053424835
