epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5380116701126099,1.7965034246444702,5e-05,0.4168704152107239,2.0616254806518555
1,0.5419103503227234,1.8213322162628174,5e-05,0.40464547276496887,2.1389684677124023
2,0.6133853197097778,1.565248727798462,5e-05,0.46699267625808716,1.924626111984253
3,0.6333116888999939,1.5137660503387451,5e-05,0.4290953576564789,1.9461615085601807
4,0.6484730243682861,1.479872226715088,5e-05,0.44621026515960693,1.895658254623413
5,0.6478232741355896,1.4689360857009888,5e-05,0.22860635817050934,2.9966554641723633
6,0.6173922419548035,1.5684595108032227,5e-05,0.47555011510849,1.856931447982788
7,0.6873511075973511,1.364040493965149,5e-05,0.4779950976371765,1.9098913669586182
8,0.6931990385055542,1.3380476236343384,5e-05,0.47555011510849,1.8047674894332886
9,0.696881115436554,1.3416764736175537,5e-05,0.5036674737930298,1.7534770965576172
10,0.714533269405365,1.304384469985962,5e-05,0.5085574388504028,1.7407581806182861
11,0.7026207447052002,1.3269020318984985,5e-05,0.47310513257980347,1.792819619178772
12,0.6935239434242249,1.3749797344207764,5e-05,0.47677260637283325,1.8027058839797974
13,0.71821528673172,1.2932159900665283,5e-05,0.47432762384414673,1.766696572303772
14,0.740524172782898,1.2392263412475586,5e-05,0.4682151675224304,1.7535334825515747
15,0.7573099136352539,1.1851558685302734,2.5e-05,0.47555011510849,1.6963247060775757
16,0.7570933699607849,1.1794754266738892,2.5e-05,0.46088019013404846,1.8206260204315186
17,0.7638076543807983,1.1797306537628174,2.5e-05,0.4975550174713135,1.6640880107879639
18,0.7556855082511902,1.1919656991958618,2.5e-05,0.5158924460411072,1.657006859779358
19,0.7719298005104065,1.1551520824432373,2.5e-05,0.5097799301147461,1.6424336433410645
