epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.16807450354099274,2.938260316848755,0.001,0.26528117060661316,2.703510284423828
1,0.31048300862312317,2.447988986968994,0.001,0.24083130061626434,2.5360403060913086
2,0.37740957736968994,2.213143825531006,0.001,0.3239608705043793,2.3999576568603516
3,0.4205111563205719,2.087209939956665,0.001,0.31540343165397644,2.3287322521209717
4,0.45581546425819397,1.9864863157272339,0.001,0.3728606402873993,2.243236541748047
5,0.47205978631973267,1.9211641550064087,0.001,0.3765281140804291,2.2030410766601562
6,0.4863547682762146,1.9028966426849365,0.001,0.3643031716346741,2.1788783073425293
7,0.50595623254776,1.8484959602355957,0.001,0.38630807399749756,2.1637766361236572
8,0.5212259292602539,1.820189356803894,0.001,0.3911980390548706,2.117966413497925
9,0.529456377029419,1.8076969385147095,0.001,0.41075795888900757,2.085332155227661
10,0.5361706614494324,1.7728136777877808,0.001,0.4009779989719391,2.0647668838500977
11,0.5513320565223694,1.7517402172088623,0.001,0.4193153977394104,2.0545456409454346
12,0.5537145137786865,1.746888279914856,0.001,0.4229828715324402,2.0188100337982178
13,0.5653021335601807,1.720529317855835,0.001,0.42053788900375366,2.0130748748779297
14,0.5637860298156738,1.7189122438430786,0.001,0.4278728663921356,1.9948781728744507
