epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9952684640884399,4.999999873689376e-05,0.18198932707309723,1.0,0.10121814906597137
1,0.9974691867828369,4.999999873689376e-05,0.16176870465278625,1.0,0.09834187477827072
2,0.9962587952613831,4.999999873689376e-05,0.15254925191402435,1.0,0.09644965082406998
3,0.9969190359115601,4.999999873689376e-05,0.14238442480564117,1.0,0.09472915530204773
4,0.9981294274330139,4.999999873689376e-05,0.13612212240695953,1.0,0.09357211738824844
5,0.9988996386528015,4.999999873689376e-05,0.13010257482528687,1.0,0.0925060361623764
6,0.9979093074798584,4.999999873689376e-05,0.1260775327682495,1.0,0.09156778454780579
7,0.99845951795578,4.999999873689376e-05,0.12117949873209,1.0,0.09037122130393982
8,0.9979093074798584,4.999999873689376e-05,0.121034637093544,1.0,0.08936402946710587
