epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9571962952613831,0.0010000000474974513,0.3398493230342865,1.0,0.056108154356479645
1,0.9997799396514893,0.0010000000474974513,0.06619340926408768,1.0,0.04825872927904129
2,1.0,0.0010000000474974513,0.05230482295155525,1.0,0.04322299361228943
3,0.9998899698257446,0.0010000000474974513,0.043834611773490906,1.0,0.0372931994497776
4,1.0,0.0010000000474974513,0.0361710786819458,1.0,0.03055427595973015
5,1.0,0.0010000000474974513,0.02889271266758442,1.0,0.02404019981622696
6,0.9985695481300354,0.0010000000474974513,0.031162600964307785,1.0,0.03022884950041771
7,0.9991196990013123,0.0010000000474974513,0.03538542240858078,1.0,0.028599388897418976
8,0.9998899698257446,0.0010000000474974513,0.02701624482870102,1.0,0.022978831082582474
9,0.9996699094772339,0.0010000000474974513,0.022504951804876328,1.0,0.020388081669807434
10,0.9985695481300354,0.0010000000474974513,0.030823109671473503,1.0,0.026656081900000572
