epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.17341549694538116,0.0010000000474974513,2.9202895164489746,0.1942078322172165,2.708803176879883
1,0.31382042169570923,0.0010000000474974513,2.3729441165924072,0.2265758067369461,2.434163808822632
2,0.37477993965148926,0.0010000000474974513,2.087336301803589,0.3270868957042694,2.195692539215088
3,0.42055457830429077,0.0010000000474974513,1.9253122806549072,0.2998296320438385,2.1407716274261475
4,0.4488336145877838,0.0010000000474974513,1.8054193258285522,0.30834752321243286,2.0861735343933105
5,0.47469189763069153,0.0010000000474974513,1.7401037216186523,0.3526405394077301,2.0081470012664795
6,0.4977993071079254,0.0010000000474974513,1.6614199876785278,0.3747870624065399,1.9527263641357422
7,0.5088028311729431,0.0010000000474974513,1.6192952394485474,0.36115843057632446,1.9634766578674316
8,0.5143045783042908,0.0010000000474974513,1.5909658670425415,0.39863714575767517,1.9210853576660156
9,0.5262984037399292,0.0010000000474974513,1.5714759826660156,0.40885859727859497,1.84406316280365
10,0.5342209339141846,0.0010000000474974513,1.545601487159729,0.388415664434433,1.8663017749786377
11,0.5459946990013123,0.0010000000474974513,1.506043553352356,0.39182281494140625,1.898506999015808
12,0.5489656925201416,0.0010000000474974513,1.5016106367111206,0.3935264050960541,1.8608325719833374
13,0.5550175905227661,0.0010000000474974513,1.4909193515777588,0.40204429626464844,1.8205689191818237
14,0.5607394576072693,0.0010000000474974513,1.4879000186920166,0.42419078946113586,1.81879460811615
