epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4247359037399292,4.999999873689376e-05,2.0589067935943604,0.3747870624065399,1.9381444454193115
1,0.517825722694397,4.999999873689376e-05,1.635895848274231,0.39182281494140625,1.8577219247817993
2,0.5454445481300354,4.999999873689376e-05,1.5184282064437866,0.4003407061100006,1.8216303586959839
3,0.5794454216957092,4.999999873689376e-05,1.394091010093689,0.41396933794021606,1.7739540338516235
4,0.5978212952613831,4.999999873689376e-05,1.346793293952942,0.41226574778556824,1.7431412935256958
5,0.6116857528686523,4.999999873689376e-05,1.290034294128418,0.41737648844718933,1.7292712926864624
6,0.6213688254356384,4.999999873689376e-05,1.2475526332855225,0.4258943796157837,1.7091338634490967
7,0.6302816867828369,4.999999873689376e-05,1.2074429988861084,0.42930153012275696,1.6912121772766113
8,0.640625,4.999999873689376e-05,1.186597466468811,0.4207836389541626,1.685691237449646
9,0.6454665660858154,4.999999873689376e-05,1.1690582036972046,0.4361158311367035,1.6520140171051025
10,0.658450722694397,4.999999873689376e-05,1.1292051076889038,0.4361158311367035,1.6632225513458252
11,0.6596611142158508,4.999999873689376e-05,1.1004579067230225,0.43441227078437805,1.6417338848114014
12,0.6713248491287231,4.999999873689376e-05,1.0863037109375,0.4275979697704315,1.6447806358337402
13,0.6727553009986877,4.999999873689376e-05,1.0719108581542969,0.41396933794021606,1.6536211967468262
14,0.6761663556098938,4.999999873689376e-05,1.0511010885238647,0.41737648844718933,1.6410090923309326
15,0.6824383735656738,4.999999873689376e-05,1.0434401035308838,0.4224872291088104,1.6517854928970337
16,0.6799075603485107,4.999999873689376e-05,1.0384629964828491,0.4275979697704315,1.6418977975845337
17,0.6938820481300354,4.999999873689376e-05,1.0129828453063965,0.41908007860183716,1.631536841392517
